set,lvl,start,end,diff,ptcp,accuracy
2,11,130404,131027,4.68421052631579,20,0
2,12,132815,133342,3.96240601503759,20,0
2,13,135740,136397,4.93984962406015,20,0
2,15,140688,141307,4.65413533834586,20,1
2,16,NaN,143760,NaN,20,0
2,18,148214,148924,5.33834586466165,20,0
2,19,150792,151457,5,20,0
2,20,153296,153828,4,20,0
2,21,155687,156390,5.28571428571429,20,0
2,23,160852,161422,4.28571428571429,20,0
2,24,163271,163795,3.93984962406015,20,0
2,25,165658,166231,4.30827067669173,20,0
2,26,168052,168561,3.82706766917293,20,0
2,27,170387,170873,3.65413533834586,20,0
2,28,173230,173739,3.82706766917293,20,0
2,29,175618,176105,3.66165413533835,20,0
2,30,178954,179502,4.1203007518797,20,0
2,31,182340,182930,4.43609022556391,20,0
2,32,185143,185839,5.23308270676692,20,0
2,33,187593,188065,3.54887218045113,20,0
2,34,189913,190475,4.22556390977444,20,0
3,0,195820,196290,3.53383458646617,20,0
3,1,198036,198567,3.99248120300752,20,0
3,2,200332,200892,4.21052631578947,20,0
3,3,203057,203524,3.51127819548872,20,0
3,4,205317,205890,4.30827067669173,20,0
3,5,207660,208127,3.51127819548872,20,0
3,6,209984,210427,3.33082706766917,20,0
3,7,212214,212646,3.24812030075188,20,0
3,8,214345,214780,3.27067669172932,20,0
3,9,217276,217729,3.40601503759398,20,0
3,10,219688,220181,3.70676691729323,20,0
3,11,222041,222533,3.69924812030075,20,0
3,12,224714,225285,4.29323308270677,20,0
3,13,227211,227705,3.71428571428571,20,1
3,14,NaN,230151,NaN,20,0
3,15,232808,233246,3.29323308270677,20,0
3,16,234978,235577,4.50375939849624,20,0
3,17,238189,238732,4.08270676691729,20,0
3,18,240478,241126,4.87218045112782,20,0
3,19,242789,243216,3.21052631578947,20,0
3,20,244889,245387,3.74436090225564,20,0
3,21,247161,247693,4,20,0
3,22,249436,250024,4.42105263157895,20,0
3,23,251786,252234,3.36842105263158,20,0
3,24,254022,254468,3.35338345864662,20,0
3,25,256109,256544,3.27067669172932,20,0
3,26,258267,258692,3.19548872180451,20,0
3,27,260523,261163,4.81203007518797,20,0
3,28,262899,263414,3.87218045112782,20,0
3,29,265476,265967,3.69172932330827,20,0
3,30,267761,268296,4.02255639097744,20,0
3,31,269946,270447,3.76691729323308,20,0
3,32,272321,272787,3.50375939849624,20,0
3,33,274591,275101,3.83458646616541,20,0
3,34,277171,277675,3.78947368421053,20,0
1,0,2361,2929,4.27067669172932,19,0
1,1,4588,5117,3.97744360902256,19,0
1,2,6889,7408,3.90225563909774,19,0
1,3,9354,9905,4.14285714285714,19,0
1,4,12436,13208,5.80451127819549,19,0
1,5,15578,16235,4.93984962406015,19,0
1,6,18262,18866,4.54135338345865,19,0
1,7,20576,21092,3.8796992481203,19,0
1,8,23880,24400,3.90977443609023,19,0
1,9,26422,26983,4.21804511278195,19,0
1,10,28873,29400,3.96240601503759,19,1
1,11,31447,32100,4.90977443609023,19,0
1,12,33815,34498,5.13533834586466,19,0
1,13,36170,36926,5.68421052631579,19,0
1,14,38646,39252,4.55639097744361,19,1
1,15,41462,42057,4.47368421052632,19,0
1,16,44027,44688,4.96992481203007,19,0
1,17,46854,47479,4.69924812030075,19,0
1,18,49129,49720,4.44360902255639,19,0
1,19,51396,51916,3.90977443609023,19,0
1,20,53811,54322,3.84210526315789,19,0
1,21,56067,56635,4.27067669172932,19,0
1,23,64189,64783,4.46616541353383,19,0
1,24,67250,67693,3.33082706766917,19,0
1,25,69340,69886,4.10526315789474,19,0
1,26,71596,72100,3.78947368421053,19,0
1,27,73833,74306,3.55639097744361,19,0
1,28,76097,76622,3.94736842105263,19,1
1,29,78581,79072,3.69172932330827,19,0
1,30,80892,81371,3.6015037593985,19,0
1,31,83046,83491,3.34586466165414,19,0
1,32,85194,85700,3.80451127819549,19,0
1,33,88101,88610,3.82706766917293,19,0
1,34,90578,91080,3.77443609022556,19,0
2,1,108202,108682,3.60902255639098,19,0
2,2,110455,110929,3.56390977443609,19,0
2,3,112803,113255,3.3984962406015,19,0
2,4,114941,115380,3.30075187969925,19,0
2,5,117550,117978,3.21804511278195,19,0
2,6,119833,120376,4.08270676691729,19,0
2,8,129882,130372,3.68421052631579,19,0
2,9,132917,133352,3.27067669172932,19,0
2,10,135168,135601,3.25563909774436,19,0
2,11,137356,137842,3.65413533834586,19,0
2,12,140139,140617,3.59398496240602,19,0
2,13,145352,145906,4.16541353383459,19,0
2,14,147979,148412,3.25563909774436,19,0
2,15,150073,150554,3.61654135338346,19,1
2,16,152870,153476,4.55639097744361,19,0
