,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
1137,248073,29.0,2,247638.0,3.2706766917293235,tsvr17,congruent,22.0,248073
1138,250405,30.0,2,249952.0,3.406015037593985,tsvr17,congruent,23.0,250405
1139,255970,31.0,2,252762.0,24.1203007518797,tsvr17,incongruent,,
1140,259028,32.0,2,258435.0,4.458646616541353,tsvr17,incongruent,24.0,259028
1141,262579,33.0,2,262140.0,3.300751879699248,tsvr17,incongruent,,
1142,267107,34.0,2,266244.0,6.488721804511278,tsvr17,none,25.0,267107
1143,269013,35.0,2,,,tsvr17,congruent,26.0,269013
1144,275953,0.0,3,271391.0,34.30075187969925,tsvr17,incongruent,,
1145,278402,1.0,3,277730.0,5.052631578947368,tsvr17,congruent,0.0,278402
1146,280900,2.0,3,280246.0,4.917293233082707,tsvr17,incongruent,1.0,280900
1147,287597,3.0,3,286990.0,4.56390977443609,tsvr17,none,2.0,287597
1148,290464,4.0,3,290017.0,3.3609022556390977,tsvr17,congruent,,
1149,302615,5.0,3,292410.0,76.72932330827068,tsvr17,incongruent,3.0,302614
1150,304747,6.0,3,304215.0,4.0,tsvr17,none,4.0,304747
1151,306936,7.0,3,306441.0,3.7218045112781954,tsvr17,congruent,5.0,306936
1152,309902,8.0,3,309446.0,3.4285714285714284,tsvr17,incongruent,,
1153,313315,9.0,3,312227.0,8.180451127819548,tsvr17,none,,
1154,316212,10.0,3,315288.0,6.947368421052632,tsvr17,incongruent,,
1155,329903,11.0,3,318476.0,85.9172932330827,tsvr17,none,6.0,329903
1156,334048,12.0,3,332862.0,8.917293233082706,tsvr17,none,7.0,334048
1157,336359,13.0,3,335802.0,4.18796992481203,tsvr17,congruent,,
1158,338851,14.0,3,337991.0,6.466165413533835,tsvr17,congruent,8.0,338851
1159,345425,15.0,3,341626.0,28.56390977443609,tsvr17,none,9.0,345425
1160,347844,16.0,3,347396.0,3.3684210526315788,tsvr17,incongruent,,
1161,350123,17.0,3,349466.0,4.93984962406015,tsvr17,congruent,,
