,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
94,252004,21.0,3,251565.0,3.300751879699248,tsvr09,none,20.0,252004
95,254434,22.0,3,254004.0,3.2330827067669174,tsvr09,none,21.0,254434
96,256564,23.0,3,256088.0,3.5789473684210527,tsvr09,none,22.0,256564
97,258793,24.0,3,258347.0,3.3533834586466167,tsvr09,incongruent,23.0,258793
98,261181,25.0,3,260753.0,3.218045112781955,tsvr09,congruent,24.0,261181
99,263456,26.0,3,262949.0,3.81203007518797,tsvr09,incongruent,25.0,263456
100,265873,27.0,3,265396.0,3.5864661654135337,tsvr09,congruent,26.0,265873
101,268231,28.0,3,267798.0,3.255639097744361,tsvr09,congruent,27.0,268231
102,273281,29.0,3,270179.0,23.32330827067669,tsvr09,incongruent,28.0,273281
103,275515,30.0,3,274976.0,4.052631578947368,tsvr09,none,29.0,275515
104,277695,31.0,3,277253.0,3.3233082706766917,tsvr09,incongruent,30.0,277695
105,280296,32.0,3,279611.0,5.150375939849624,tsvr09,none,31.0,280296
106,282758,33.0,3,282226.0,4.0,tsvr09,none,32.0,282758
107,288609,34.0,3,284593.0,30.195488721804512,tsvr09,incongruent,33.0,288609
108,4239,0.0,1,2137.0,15.80451127819549,tsvr08,congruent,0.0,4239
109,6948,1.0,1,6423.0,3.9473684210526314,tsvr08,congruent,1.0,6948
110,9884,2.0,1,9119.0,5.7518796992481205,tsvr08,incongruent,2.0,9884
111,12496,3.0,1,11801.0,5.225563909774436,tsvr08,none,3.0,12496
112,15207,4.0,1,14504.0,5.285714285714286,tsvr08,congruent,4.0,15207
113,17738,5.0,1,17079.0,4.954887218045113,tsvr08,incongruent,5.0,17738
114,20533,6.0,1,20076.0,3.43609022556391,tsvr08,congruent,6.0,20533
115,23094,7.0,1,22638.0,3.4285714285714284,tsvr08,none,7.0,23094
116,25628,8.0,1,24862.0,5.7593984962406015,tsvr08,none,8.0,25628
117,27978,9.0,1,27507.0,3.5413533834586466,tsvr08,incongruent,9.0,27978
118,30184,10.0,1,29650.0,4.015037593984962,tsvr08,congruent,10.0,30184
119,32970,11.0,1,32485.0,3.6466165413533833,tsvr08,none,11.0,32970
120,35099,12.0,1,34670.0,3.225563909774436,tsvr08,none,12.0,35099
121,37908,13.0,1,37430.0,3.593984962406015,tsvr08,incongruent,13.0,37908
122,46551,14.0,1,41824.0,35.54135338345865,tsvr08,congruent,14.0,46551
123,50059,15.0,1,49406.0,4.909774436090226,tsvr08,congruent,15.0,50059
124,53391,16.0,1,52922.0,3.526315789473684,tsvr08,none,16.0,53391
125,56754,17.0,1,56171.0,4.383458646616542,tsvr08,congruent,17.0,56754
126,59067,18.0,1,58517.0,4.135338345864661,tsvr08,congruent,18.0,59067
127,62170,19.0,1,61580.0,4.43609022556391,tsvr08,none,19.0,62170
128,67668,20.0,1,67043.0,4.6992481203007515,tsvr08,none,20.0,67668
129,70912,21.0,1,70273.0,4.804511278195489,tsvr08,congruent,21.0,70912
130,73877,22.0,1,73147.0,5.488721804511278,tsvr08,congruent,22.0,73877
131,77318,23.0,1,76717.0,4.518796992481203,tsvr08,none,23.0,77318
132,87778,24.0,1,87263.0,3.8721804511278197,tsvr08,incongruent,24.0,87778
133,92484,25.0,1,89753.0,20.533834586466167,tsvr08,none,25.0,92484
134,95427,26.0,1,94824.0,4.533834586466165,tsvr08,incongruent,26.0,95427
135,97636,27.0,1,97091.0,4.097744360902255,tsvr08,incongruent,27.0,97636
136,100188,28.0,1,99649.0,4.052631578947368,tsvr08,congruent,28.0,100188
137,102641,29.0,1,102175.0,3.5037593984962405,tsvr08,incongruent,29.0,102641
138,111585,30.0,1,104421.0,53.86466165413534,tsvr08,none,30.0,111585
139,114077,31.0,1,113537.0,4.06015037593985,tsvr08,congruent,31.0,114077
140,116387,32.0,1,115829.0,4.195488721804511,tsvr08,incongruent,32.0,116387
141,118954,33.0,1,118433.0,3.917293233082707,tsvr08,none,33.0,118954
142,121484,34.0,1,120942.0,4.075187969924812,tsvr08,incongruent,,
143,123737,35.0,1,123737.0,0.0,tsvr08,incongruent,34.0,123737
144,131058,0.0,2,130530.0,3.969924812030075,tsvr08,none,0.0,131058
145,133261,1.0,2,132808.0,3.406015037593985,tsvr08,congruent,1.0,133261
146,135712,2.0,2,135212.0,3.7593984962406015,tsvr08,congruent,2.0,135712
147,138114,3.0,2,137622.0,3.699248120300752,tsvr08,none,3.0,138114
148,140782,4.0,2,140316.0,3.5037593984962405,tsvr08,none,4.0,140782
149,143004,5.0,2,142580.0,3.18796992481203,tsvr08,congruent,5.0,143004
150,145347,6.0,2,144879.0,3.518796992481203,tsvr08,congruent,6.0,145347
151,147820,7.0,2,147360.0,3.4586466165413534,tsvr08,none,7.0,147820
152,150988,8.0,2,150543.0,3.345864661654135,tsvr08,incongruent,8.0,150988
153,153636,9.0,2,153178.0,3.443609022556391,tsvr08,congruent,9.0,153636
154,157426,10.0,2,156972.0,3.4135338345864663,tsvr08,none,10.0,157426
155,162089,11.0,2,160478.0,12.112781954887218,tsvr08,incongruent,11.0,162089
156,164741,12.0,2,164270.0,3.5413533834586466,tsvr08,none,12.0,164741
157,167191,13.0,2,166650.0,4.067669172932331,tsvr08,incongruent,13.0,167191
158,170557,14.0,2,169990.0,4.2631578947368425,tsvr08,incongruent,14.0,170557
159,172789,15.0,2,172345.0,3.338345864661654,tsvr08,incongruent,15.0,172789
160,175559,16.0,2,175120.0,3.300751879699248,tsvr08,none,16.0,175559
161,178076,17.0,2,177597.0,3.601503759398496,tsvr08,none,17.0,178076
162,180752,18.0,2,180318.0,3.263157894736842,tsvr08,congruent,18.0,180752
163,182971,19.0,2,182536.0,3.2706766917293235,tsvr08,incongruent,19.0,182971
164,185670,20.0,2,185206.0,3.488721804511278,tsvr08,congruent,20.0,185670
165,188223,21.0,2,187745.0,3.593984962406015,tsvr08,none,21.0,188223
166,190728,22.0,2,190212.0,3.8796992481203008,tsvr08,incongruent,22.0,190728
167,193506,23.0,2,192850.0,4.932330827067669,tsvr08,none,23.0,193506
168,200809,24.0,2,200380.0,3.225563909774436,tsvr08,incongruent,24.0,200809
169,203476,25.0,2,202721.0,5.676691729323308,tsvr08,congruent,25.0,203476
170,205754,26.0,2,205295.0,3.4511278195488724,tsvr08,none,26.0,205754
171,207927,27.0,2,207465.0,3.473684210526316,tsvr08,incongruent,27.0,207927
172,210717,28.0,2,209935.0,5.879699248120301,tsvr08,none,28.0,210717
173,212906,29.0,2,212426.0,3.6090225563909772,tsvr08,incongruent,29.0,212906
174,215335,30.0,2,214905.0,3.2330827067669174,tsvr08,congruent,30.0,215335
175,217666,31.0,2,217223.0,3.330827067669173,tsvr08,incongruent,31.0,217666
176,220122,32.0,2,219581.0,4.067669172932331,tsvr08,congruent,32.0,220122
177,222224,33.0,2,221772.0,3.398496240601504,tsvr08,congruent,33.0,222224
178,224822,34.0,2,224098.0,5.443609022556391,tsvr08,congruent,34.0,224822
179,229598,35.0,2,99.0,1725.5563909774437,tsvr08,incongruent,35.0,229598
180,229599,,2,,,tsvr08,,,229599
